course_id,title,category,difficulty,skills,description,duration_hours,rating
1,Introduction to databases,Backend Development,Advanced,"SQL, microservices, Node.js, databases","This course on Introduction to databases covers SQL, microservices, Node.js, databases. Designed for advanced learners aiming to build practical, job-ready skills in backend development. Includes hands-on projects and real-world case studies.",20,3.7
2,Mastering Node.js,Backend Development,Advanced,"caching, REST APIs, Node.js, server architecture","This course on Mastering Node.js covers caching, REST APIs, Node.js, server architecture. Designed for advanced learners aiming to build practical, job-ready skills in backend development. Includes hands-on projects and real-world case studies.",6,3.8
3,Introduction to Django,Backend Development,Advanced,"microservices, Node.js, caching, databases","This course on Introduction to Django covers microservices, Node.js, caching, databases. Designed for advanced learners aiming to build practical, job-ready skills in backend development. Includes hands-on projects and real-world case studies.",10,4.4
4,REST APIs for Beginners,Backend Development,Advanced,"caching, authentication, SQL, databases","This course on REST APIs for Beginners covers caching, authentication, SQL, databases. Designed for advanced learners aiming to build practical, job-ready skills in backend development. Includes hands-on projects and real-world case studies.",6,4.9
5,Mastering authentication,Backend Development,Beginner,"caching, databases, authentication, Django","This course on Mastering authentication covers caching, databases, authentication, Django. Designed for beginner learners aiming to build practical, job-ready skills in backend development. Includes hands-on projects and real-world case studies.",8,4.4
6,Hands-on REST APIs,Backend Development,Advanced,"databases, caching, Django, SQL","This course on Hands-on REST APIs covers databases, caching, Django, SQL. Designed for advanced learners aiming to build practical, job-ready skills in backend development. Includes hands-on projects and real-world case studies.",8,4.7
7,Complete Guide to Django,Backend Development,Advanced,"microservices, databases, REST APIs, authentication","This course on Complete Guide to Django covers microservices, databases, REST APIs, authentication. Designed for advanced learners aiming to build practical, job-ready skills in backend development. Includes hands-on projects and real-world case studies.",6,4.7
8,Advanced databases,Backend Development,Beginner,"caching, SQL, server architecture, authentication","This course on Advanced databases covers caching, SQL, server architecture, authentication. Designed for beginner learners aiming to build practical, job-ready skills in backend development. Includes hands-on projects and real-world case studies.",30,4.0
9,Complete Guide to authentication,Backend Development,Beginner,"SQL, databases, system design, Django","This course on Complete Guide to authentication covers SQL, databases, system design, Django. Designed for beginner learners aiming to build practical, job-ready skills in backend development. Includes hands-on projects and real-world case studies.",20,3.9
10,server architecture Bootcamp,Backend Development,Intermediate,"Node.js, microservices, authentication, caching","This course on server architecture Bootcamp covers Node.js, microservices, authentication, caching. Designed for intermediate learners aiming to build practical, job-ready skills in backend development. Includes hands-on projects and real-world case studies.",30,4.7
11,Introduction to microservices,Backend Development,Intermediate,"caching, SQL, databases, server architecture","This course on Introduction to microservices covers caching, SQL, databases, server architecture. Designed for intermediate learners aiming to build practical, job-ready skills in backend development. Includes hands-on projects and real-world case studies.",15,4.8
12,Advanced authentication,Backend Development,Advanced,"server architecture, caching, Django, databases","This course on Advanced authentication covers server architecture, caching, Django, databases. Designed for advanced learners aiming to build practical, job-ready skills in backend development. Includes hands-on projects and real-world case studies.",8,3.7
13,Node.js Fundamentals,Backend Development,Intermediate,"Django, caching, Node.js, system design","This course on Node.js Fundamentals covers Django, caching, Node.js, system design. Designed for intermediate learners aiming to build practical, job-ready skills in backend development. Includes hands-on projects and real-world case studies.",6,5.0
14,system design Fundamentals,Backend Development,Intermediate,"databases, REST APIs, Django, server architecture","This course on system design Fundamentals covers databases, REST APIs, Django, server architecture. Designed for intermediate learners aiming to build practical, job-ready skills in backend development. Includes hands-on projects and real-world case studies.",20,3.7
15,Building Projects with caching,Backend Development,Beginner,"caching, Django, server architecture, SQL","This course on Building Projects with caching covers caching, Django, server architecture, SQL. Designed for beginner learners aiming to build practical, job-ready skills in backend development. Includes hands-on projects and real-world case studies.",8,5.0
16,Mastering REST APIs,Backend Development,Advanced,"Node.js, SQL, authentication, REST APIs","This course on Mastering REST APIs covers Node.js, SQL, authentication, REST APIs. Designed for advanced learners aiming to build practical, job-ready skills in backend development. Includes hands-on projects and real-world case studies.",8,4.2
17,Introduction to server architecture,Backend Development,Advanced,"SQL, Node.js, system design, Django","This course on Introduction to server architecture covers SQL, Node.js, system design, Django. Designed for advanced learners aiming to build practical, job-ready skills in backend development. Includes hands-on projects and real-world case studies.",4,4.8
18,UI components Fundamentals,Frontend Development,Advanced,"JavaScript, responsive design, accessibility, state management","This course on UI components Fundamentals covers JavaScript, responsive design, accessibility, state management. Designed for advanced learners aiming to build practical, job-ready skills in frontend development. Includes hands-on projects and real-world case studies.",6,4.3
19,Introduction to TypeScript,Frontend Development,Advanced,"accessibility, Vue, React, TypeScript","This course on Introduction to TypeScript covers accessibility, Vue, React, TypeScript. Designed for advanced learners aiming to build practical, job-ready skills in frontend development. Includes hands-on projects and real-world case studies.",8,4.8
20,Advanced UI components,Frontend Development,Beginner,"JavaScript, CSS, TypeScript, accessibility","This course on Advanced UI components covers JavaScript, CSS, TypeScript, accessibility. Designed for beginner learners aiming to build practical, job-ready skills in frontend development. Includes hands-on projects and real-world case studies.",10,4.7
21,TypeScript for Beginners,Frontend Development,Beginner,"Vue, TypeScript, responsive design, animations","This course on TypeScript for Beginners covers Vue, TypeScript, responsive design, animations. Designed for beginner learners aiming to build practical, job-ready skills in frontend development. Includes hands-on projects and real-world case studies.",15,4.8
22,Advanced state management,Frontend Development,Advanced,"JavaScript, UI components, state management, accessibility","This course on Advanced state management covers JavaScript, UI components, state management, accessibility. Designed for advanced learners aiming to build practical, job-ready skills in frontend development. Includes hands-on projects and real-world case studies.",20,4.1
